,Area,Section,Field,Var,Cat,Age,Ha,T/Cane,TCH,TCHM,Month Cut,Year,Date Cut
,3,66,6623,N14,1,10.22,20.1,2772.9960000000005,137.96,13.499021526418787,June,1995.0,14/06/1995
,1,6,0603,N14,1,10.35,8.3,1002.9720000000001,120.84,11.67536231884058,August,1995.0,03/08/1995
,3,65,6542,N14,1,10.38,13.9,2286.967,164.53,15.85067437379576,June,1995.0,19/06/1995
,3,66,6605,N14,1,10.42,13.8,1730.9340000000002,125.43,12.03742802303263,July,1995.0,08/07/1995
,1,7,0701,N14,1,10.68,13.8,871.056,63.12,5.910112359550562,August,1995.0,07/08/1995
,1,4,0419,N14,P,10.78,11,1671.01,151.91,14.091836734693878,April,1995.0,25/04/1995
,3,64,6432,N14,P,11.14,6.3,791.973,125.71,11.28456014362657,August,1995.0,11/08/1995
,1,6,0621,N14,6,11.3,2.5,260,104.0,9.20353982300885,September,1995.0,10/09/1995
,3,66,6627,N14,1,11.3,22.6,3192.0240000000003,141.24,12.499115044247787,June,1995.0,28/06/1995
,3,63,6340,N14,1,11.9,12.6,1813.0139999999997,143.89,12.09159663865546,July,1995.0,22/07/1995
,3,66,6619,N14,1,11.99,10.8,1632.96,151.2,12.610508757297747,October,1995.0,08/10/1995
,2,18,1837,N14,1,12.13,10.8,1299.0240000000001,120.28,9.9159109645507,August,1995.0,12/08/1995
,3,66,6622,N14,1,12.19,22.5,3730.05,165.78,13.599671862182117,July,1995.0,06/07/1995
,2,9,0929,N14,P,12.55,6.5,1333.02,205.07999999999998,16.341035856573704,September,1995.0,30/09/1995
,1,7,0702,N14,1,12.91,13.4,896.996,66.94,5.185127807900852,October,1995.0,07/10/1995
,2,10,1019,N14,1,13.08,11.8,2117.9820000000004,179.49000000000004,13.722477064220186,May,1995.0,23/05/1995
,1,4,0405,N14,P,13.24,9.5,1782.0100000000002,187.58,14.167673716012086,September,1995.0,10/09/1995
,3,65,6515,N14,4,13.34,12.8,931.9680000000001,72.81,5.458020989505248,July,1995.0,12/07/1995
,2,10,1020,N14,1,13.44,21.3,3834,180.0,13.392857142857144,May,1995.0,29/05/1995
,3,62,6217,N14,1,13.54,14.4,2349.072,163.13,12.048005908419498,August,1995.0,06/08/1995
,3,65,6503,N14,3,13.57,7.7,832.9860000000001,108.18,7.9719970523212975,December,1995.0,09/12/1995
,2,15,1513,N14,P,13.6,15.8,2245.9700000000003,142.15,10.452205882352942,July,1995.0,10/10/1995
