Field,TCH_2018,TCH_2019,TCH_2020,TCH_2021,TCH_2022,TCH_2023,Clay_2018,Clay_2019,Clay_2020,Clay_2021,Clay_2022,Clay_2023,EC_2018,EC_2019,EC_2020,EC_2021,EC_2022,EC_2023,K_2018,K_2019,K_2020,K_2021,K_2022,K_2023,OM_2018,OM_2019,OM_2020,OM_2021,OM_2022,OM_2023,P2O5_2018,P2O5_2019,P2O5_2020,P2O5_2021,P2O5_2022,P2O5_2023,Sand_2018,Sand_2019,Sand_2020,Sand_2021,Sand_2022,Sand_2023,Silt_2018,Silt_2019,Silt_2020,Silt_2021,Silt_2022,Silt_2023,pH_2018,pH_2019,pH_2020,pH_2021,pH_2022,pH_2023
101,63.62,63.62,63.62,63.62,63.62,63.62,14.0,29.0,14.0,17.568,16.0,16.0,41.0,126.0,80.0,40.0,33.0,33.0,0.171282051282051,214.1,109.8,134.0,0.344102564102564,0.344102564102564,1.75984,3.31,1.7342079,1.8377427,1.7342079,1.7342079,224.518832781457,200.125216721248,32.6572072014848,80.2669882708965,9.13619583962061,9.13619583962061,71.0,49.0,75.0,68.432,71.0,71.0,15.0,22.0,11.0,14.212,13.0,13.0,6.59,6.91,6.64,6.31,6.62,6.62
102,115.5531067961165,145.826213592233,113.35922330097084,96.2479809976247,93.1125890736342,87.13919239904988,19.0,21.0,19.0,17.568,16.0,16.0,73.0,113.0,33.0,77.0,60.0,47.0,0.253964194373402,128.8,101.0,0.249487179487179,0.395384615384615,0.3,1.76,1.48768545,1.7342079,1.8377427,1.7342079,1.7342079,28.0,92.6434551766388,19.9484223300971,91.3161477513371,26.4019916142558,43.0,70.0,61.0,70.0,68.432,71.0,71.0,12.0,18.0,11.0,14.212,13.0,13.0,6.94,7.13,5.97,6.32,7.0,6.36
103,67.52,67.52,67.52,67.52,67.52,67.52,19.0,17.0,19.0,17.5,16.0,16.0,73.0,48.0,93.0,79.5,66.0,66.0,0.253964194373402,136.4,144.7,72.5468205128205,0.393641025641026,0.393641025641026,1.76,1.48768545,1.7342079,1.7342079,1.7342079,1.7342079,28.0,288.584089470352,257.816944331573,206.988761177614,156.160578023655,156.160578023655,70.0,60.0,71.0,71.0,71.0,71.0,12.0,23.0,10.0,11.5,13.0,13.0,6.94,6.94,6.88,6.84,6.8,6.8
104,61.68,81.63030303030303,65.41212121212122,65.41212121212122,65.41212121212122,65.41212121212122,13.0,17.0,19.0,17.5,16.0,16.0,28.0,108.0,47.0,42.5,38.0,43.0,0.498461538461538,151.7,188.0,94.09307692307692,0.186153846153846,0.356410256410256,1.5528,1.48768545,2.0189286,1.87656825,1.7342079,1.7342079,56.0255629945222,74.0731257681278,18.5099093715035,27.37966068130425,36.249411991105,20.5045053217223,68.0,69.0,62.0,66.5,71.0,71.0,19.0,14.0,19.0,16.0,13.0,13.0,5.62,7.33,6.31,6.615,6.92,6.63
105,111.01985282845315,116.43982829986204,121.85980377127088,127.27977924267977,132.6997547140886,138.11973018549747,28.0,17.0,25.0,22.0,19.0,16.0,103.0,82.0,141.0,111.33333333333331,81.66666666666666,52.0,0.569230769230769,250.9,158.5,105.77786324786324,53.0557264957265,0.333589743589744,2.28,1.48768545,2.5624863,2.2863935,2.0103007,1.7342079,139.457267623207,193.936911102007,70.8478141650986,56.88529363594377,42.92277310678894,28.9602525776341,57.0,69.0,63.0,65.66666666666667,68.33333333333333,71.0,15.0,14.0,12.0,12.333333333333334,12.666666666666666,13.0,6.12,6.99,7.33,6.966666666666667,6.6033333333333335,6.24
106,60.41,60.41,60.41,60.41,60.41,60.41,22.0,24.0,20.0,17.568,16.0,16.0,70.0,52.0,41.0,41.0,67.0,67.0,0.24,261.8,115.3,123.4,0.583774358974359,0.583774358974359,1.4,1.48768545,2.329533,2.0965797,1.7342079,1.7342079,77.4157531465692,46.797153024911,38.897292827002,44.5913290817913,25.645,25.645,66.0,62.0,67.0,68.432,71.0,71.0,12.0,14.0,13.0,14.212,13.0,13.0,6.42,6.46,6.44,6.29,6.39,6.39
107,72.21,97.75315315315316,99.36756756756758,73.11392405063292,72.74586173320351,72.74586173320351,23.0,16.0,22.664,17.568,16.0,16.0,157.0,94.0,88.0,114.0,71.0,71.0,0.478717948717949,223.6,161.6,203.0,0.670920512820513,0.670920512820513,1.5528,1.48768545,1.7342079,1.8377427,1.7342079,1.7342079,245.78141499472,231.475272422464,183.322499770183,53.2629884039758,25.017,25.017,65.0,67.0,69.552,68.432,71.0,71.0,12.0,17.0,7.784,14.212,13.0,13.0,6.91,7.23,6.62,7.13,6.83,6.83
108,95.06,106.69230769230768,112.24615384615385,72.85950413223141,77.81818181818181,77.81818181818181,19.0,16.0,18.0,17.568,16.0,16.0,89.0,108.0,112.0,55.0,51.0,51.0,0.261538461538462,181.5,123.4,128.9,0.211984615384615,0.211984615384615,1.5528,1.48768545,1.7342079,1.8377427,1.7342079,1.7342079,274.941921858501,293.477577535625,194.960850619438,254.684438275637,395.093,395.093,71.0,67.0,70.0,68.432,71.0,71.0,10.0,17.0,12.0,14.212,13.0,13.0,7.18,7.37,7.47,7.48,6.98,6.98
109,70.67,102.37826086956522,86.375,40.609096142774895,88.66033390903857,136.71157167530222,20.284,17.0,17.0,17.568,17.568,17.568,247.0,64.0,41.0,42.0,42.0,42.0,0.617179487179487,179.4,130.2,150.7,150.7,150.7,1.3459524,1.48768545,2.2001145,1.8377427,1.8377427,1.8377427,86.5665500925736,300.21537798837,160.177666808049,31.615482470162,31.615482470162,31.615482470162,66.616,75.0,75.0,68.432,68.432,68.432,13.1,9.0,8.0,14.212,14.212,14.212,6.78,6.55,6.75,5.82,5.82,5.82
110,68.58,106.20472392638035,143.82944785276072,107.47783251231527,98.38546798029556,96.20320197044336,10.0,12.5,15.0,14.0,16.0,16.0,106.0,71.0,36.0,26.0,16.0,51.0,0.490769230769231,31.245384615384616,62.0,0.283589743589744,0.227179487179487,0.250769230769231,2.41,1.96856915,1.5271383,1.8377427,1.7342079,1.7342079,136.832224844454,87.0441292113141,37.2560335781742,62.1762902329699,20.8932422717469,57.2418401800788,70.0,73.5,77.0,68.0,71.0,71.0,20.0,14.0,8.0,18.0,13.0,13.0,6.35,6.42,6.49,5.79,5.91,6.26
